<Header>
User name:  user_name
Location:  sample_location
Model: MINI-WRAS
Serial No.: 71-15-01
Software revision:  V8-1 Rev II (2017 Sept 26)
Unit: [1/cm3] 
Comment:  
online data
<Data>
[d&t31/12/2035 11:50:55]	PM10	PM2.5	PM1	Inhalable	Thoracic	Alveolic
19/07/2023 12:56:37	2265.8	426.5	58.2	4348.0	2318.1	1080.3
19/07/2023 12:57:37	2218.2	427.0	56.2	4099.1	2257.6	1069.7
19/07/2023 12:58:37	2070.7	408.2	55.6	3858.0	2109.5	1016.9
19/07/2023 12:59:37	1970.3	389.5	53.8	3817.6	2022.1	975.9
19/07/2023 13:00:37	1802.9	386.7	51.9	3885.4	1834.5	933.2
19/07/2023 13:01:37	1837.5	366.4	50.1	3416.6	1881.4	907.4
19/07/2023 13:02:37	1874.7	377.6	52.0	3479.7	1912.0	930.0
19/07/2023 13:03:37	1771.8	347.4	48.0	3359.9	1799.3	876.6
19/07/2023 13:04:37	1770.6	362.0	48.2	3324.8	1793.4	888.8
19/07/2023 13:05:37	1715.4	340.6	47.6	3076.6	1731.8	856.7
19/07/2023 13:06:36	1765.5	353.8	47.3	3317.9	1790.2	879.7
19/07/2023 13:07:36	1636.6	328.1	45.6	3101.5	1656.7	818.2
19/07/2023 13:08:36	1726.8	349.8	47.2	2970.2	1749.8	868.4
19/07/2023 13:09:37	1706.8	353.3	47.3	3231.1	1729.6	877.5
19/07/2023 13:10:36	1815.4	350.0	47.9	3532.4	1858.9	867.4
19/07/2023 13:11:36	1637.7	331.9	44.8	3237.7	1666.5	824.4
19/07/2023 13:12:36	1681.7	339.8	45.8	3146.8	1730.1	839.5
19/07/2023 13:13:36	1691.8	344.4	46.3	3347.7	1737.3	850.7
19/07/2023 13:14:36	1779.6	341.3	45.6	4437.1	1824.2	855.8
19/07/2023 13:15:36	1760.9	339.9	46.1	4852.3	1821.4	858.1
19/07/2023 13:16:36	1710.6	340.5	45.5	3122.8	1745.9	853.0
19/07/2023 13:17:36	2024.8	391.5	50.4	3882.3	2075.1	983.2
19/07/2023 13:18:36	1851.6	340.0	45.2	4046.1	1898.8	877.9
19/07/2023 13:19:36	1888.9	353.1	46.6	4029.5	1945.9	900.9
19/07/2023 13:20:36	1794.8	340.5	45.2	3431.7	1833.7	873.7
19/07/2023 13:21:36	1867.7	355.3	46.2	3465.9	1894.9	905.8
19/07/2023 13:22:36	1953.8	350.3	46.2	5152.1	2029.7	919.1
